sku,product_description,category,application_type,r_value,thickness_mm,insulation_width,material_density,bale_size_sqm,retail_price,pack_price,created_at
PIL-015,Premier Glasswool Ceiling Blankets R2.7 Ceiling Blanket (120mm),Glasswool,Ceiling,R2.7 Ceiling Blanket (120mm),120mm,1200mm,12kg/m³,12,4.75,57,
PIL-016,Premier Glasswool Ceiling Blankets R3.6 Ceiling Blanket (155mm),Glasswool,Ceiling,R3.6 Ceiling Blanket (155mm),155mm,1200mm,12kg/m³,9.6,6.77,65,
PIL-017,Premier Glasswool Ceiling Blankets R4.1 Ceiling Blanket (175mm),Glasswool,Ceiling,R4.1 Ceiling Blanket (175mm),175mm,1200mm,12kg/m³,8.4,7.74,65,
PIL-018,Premier Glasswool Ceiling Segments R3.6 Ceiling 175mm,Glasswool,Ceiling,R3.6 Ceiling 175mm,175mm,430mm,8kg/m³,9.3,5.54,51.5,
PIL-019,Premier Glasswool Ceiling Segments R4.1 Ceiling 195mm,Glasswool,Ceiling,R4.1 Ceiling 195mm,195mm,430mm,8kg/m³,7.74,6.46,50,
PIL-020,Premier Glasswool Ceiling Segments R5.2 Ceiling 230mm,Glasswool,Ceiling,R5.2 Ceiling 230mm,230mm,430mm,10kg/m³,5.16,10.08,52,
PIL-021,Premier Glasswool Ceiling Segments R6.3 Ceiling 260mm,Glasswool,Ceiling,R6.3 Ceiling 260mm,260mm,430mm,12kg/m³,4.64,11.55,53.6,
PIL-022,Premier Glasswool Ceiling Segments R7.3 Ceiling 275mm,Glasswool,Ceiling,R7.3 Ceiling 275mm,275mm,430mm,14kg/m³,3.1,11.87,36.8,
PIL-023,Premier Polyester HD Thermal Insulation (Wall) R1.8 70mm,Thermal,Wall,R1.8 70mm,70mm,580mm,HIGH-DENSITY THERMAL INSULATION,3.53,15.4,54.35,
PIL-024,Premier Polyester HD Thermal Insulation (Wall) R2.0 70mm,Thermal,Wall,R2.0 70mm,70mm,580mm,HIGH-DENSITY THERMAL INSULATION,3.4,21.6,73.45,
PIL-025,Premier Polyester HD Thermal Insulation (Wall) R2.0 90mm,Thermal,Wall,R2.0 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 1),3.01,11.45,34.45,
PIL-026,Premier Polyester HD Thermal Insulation (Wall) R2.0 90mm,Thermal,Wall,R2.0 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,11.45,38.9,
PIL-027,Premier Polyester HD Thermal Insulation (Wall) R2.2 90mm,Thermal,Wall,R2.2 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 1),3.01,11.95,35.96,
PIL-028,Premier Polyester HD Thermal Insulation (Wall) R2.2 90mm,Thermal,Wall,R2.2 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,11.95,40.65,
